Road User Class,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005-2014,Average
Drivers,16,18,16,18,8,10,9,10,13,13,131,13.1
Passengers,12,11,10,6,4,3,7,5,9,3,70,7.0
Pedestrians,13,12,10,9,6,6,6,9,9,7,87,8.7
Motorcyclists,3,6,6,3,3,4,1,4,8,5,43,4.3
Bicyclists,0,0,1,2,0,1,0,2,0,0,6,0.6
Other,0,0,2,0,0,0,0,0,1,0,3,0.3
Unspecified,0,2,0,0,0,0,0,0,0,0,2,0.2
Total Fatalities,44,49,45,38,21,24,23,30,40,28,342,34.2
,,,,,,,,,,,,
,,,,,,,,,,,,
Drivers,36.4%,36.7%,35.6%,47.4%,38.1%,41.7%,39.1%,33.3%,32.5%,46.4%,38.3%,38.3%
Passengers,27.3%,22.4%,22.2%,15.8%,19.0%,12.5%,30.4%,16.7%,22.5%,10.7%,20.5%,20.5%
Pedestrians,29.5%,24.5%,22.2%,23.7%,28.6%,25.0%,26.1%,30.0%,22.5%,25.0%,25.4%,25.4%
Motorcyclists,6.8%,12.2%,13.3%,7.9%,14.3%,16.7%,4.3%,13.3%,20.0%,17.9%,12.6%,12.6%
Bicyclists,0.0%,0.0%,2.2%,5.3%,0.0%,4.2%,0.0%,6.7%,0.0%,0.0%,1.8%,1.8%
Other,0.0%,0.0%,4.4%,0.0%,0.0%,0.0%,0.0%,0.0%,2.5%,0.0%,0.9%,0.9%
Unspecified,0.0%,4.1%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.6%,0.6%
Total Fatalities,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
