Road User Class,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2005-2014,Average
Drivers,10,18,5,7,10,9,4,11,11,7,92,9.2
Passengers,9,5,6,3,7,5,2,3,2,5,47,4.7
Pedestrians,4,2,13,9,9,6,8,9,9,10,79,7.9
Motorcyclists,3,2,4,7,3,4,5,4,2,0,34,3.4
Bicyclists,1,0,4,2,2,2,1,1,1,1,15,1.5
Other,2,0,1,0,0,0,0,0,1,0,4,0.4
Unspecified,0,1,0,0,0,0,0,0,0,0,1,0.1
Total Fatalities,29,28,33,28,31,26,20,28,26,23,272,27.2
,,,,,,,,,,,,
,,,,,,,,,,,,
Drivers,34.5%,64.3%,15.2%,25.0%,32.3%,34.6%,20.0%,39.3%,42.3%,30.4%,33.8%,33.8%
Passengers,31.0%,17.9%,18.2%,10.7%,22.6%,19.2%,10.0%,10.7%,7.7%,21.7%,17.3%,17.3%
Pedestrians,13.8%,7.1%,39.4%,32.1%,29.0%,23.1%,40.0%,32.1%,34.6%,43.5%,29.0%,29.0%
Motorcyclists,10.3%,7.1%,12.1%,25.0%,9.7%,15.4%,25.0%,14.3%,7.7%,0.0%,12.5%,12.5%
Bicyclists,3.4%,0.0%,12.1%,7.1%,6.5%,7.7%,5.0%,3.6%,3.8%,4.3%,5.5%,5.5%
Other,6.9%,0.0%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.8%,0.0%,1.5%,1.5%
Unspecified,0.0%,3.6%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.4%,0.4%
Total Fatalities,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%
